athlete_names,event,time_distance,total_points,competition
sebrle,x100m,11.04,8217,Decastar
sebrle,x400m,49.81,8217,Decastar
sebrle,long_jump,7.58,8217,Decastar
sebrle,shot_put,14.83,8217,Decastar
clay,x100m,10.76,8122,Decastar
clay,x400m,49.37,8122,Decastar
clay,long_jump,7.4,8122,Decastar
clay,shot_put,14.26,8122,Decastar
karpov,x100m,11.02,8099,Decastar
karpov,x400m,48.37,8099,Decastar
karpov,long_jump,7.3,8099,Decastar
karpov,shot_put,14.77,8099,Decastar
bernard,x100m,11.02,8067,Decastar
bernard,x400m,48.93,8067,Decastar
bernard,long_jump,7.23,8067,Decastar
bernard,shot_put,14.25,8067,Decastar
yurkov,x100m,11.34,8036,Decastar
yurkov,x400m,50.42,8036,Decastar
yurkov,long_jump,7.09,8036,Decastar
yurkov,shot_put,15.19,8036,Decastar
warners,x100m,11.11,8030,Decastar
warners,x400m,48.68,8030,Decastar
warners,long_jump,7.6,8030,Decastar
warners,shot_put,14.31,8030,Decastar
zsivoczky,x100m,11.13,8004,Decastar
zsivoczky,x400m,48.62,8004,Decastar
zsivoczky,long_jump,7.3,8004,Decastar
zsivoczky,shot_put,13.48,8004,Decastar
mcmullen,x100m,10.83,7995,Decastar
mcmullen,x400m,49.91,7995,Decastar
mcmullen,long_jump,7.31,7995,Decastar
mcmullen,shot_put,13.76,7995,Decastar
martineau,x100m,11.64,7802,Decastar
martineau,x400m,50.14,7802,Decastar
martineau,long_jump,6.81,7802,Decastar
martineau,shot_put,14.57,7802,Decastar
hernu,x100m,11.37,7733,Decastar
hernu,x400m,51.1,7733,Decastar
hernu,long_jump,7.56,7733,Decastar
hernu,shot_put,14.41,7733,Decastar
barras,x100m,11.33,7708,Decastar
barras,x400m,49.48,7708,Decastar
barras,long_jump,6.97,7708,Decastar
barras,shot_put,14.09,7708,Decastar
nool,x100m,11.33,7651,Decastar
nool,x400m,49.2,7651,Decastar
nool,long_jump,7.27,7651,Decastar
nool,shot_put,12.68,7651,Decastar
bourguignon,x100m,11.36,7313,Decastar
bourguignon,x400m,51.16,7313,Decastar
bourguignon,long_jump,6.8,7313,Decastar
bourguignon,shot_put,13.46,7313,Decastar
sebrle,x100m,10.85,8893,OlympicG
sebrle,x400m,48.36,8893,OlympicG
sebrle,long_jump,7.84,8893,OlympicG
sebrle,shot_put,16.36,8893,OlympicG
clay,x100m,10.44,8820,OlympicG
clay,x400m,49.19,8820,OlympicG
clay,long_jump,7.96,8820,OlympicG
clay,shot_put,15.23,8820,OlympicG
karpov,x100m,10.5,8725,OlympicG
karpov,x400m,46.81,8725,OlympicG
karpov,long_jump,7.81,8725,OlympicG
karpov,shot_put,15.93,8725,OlympicG
macey,x100m,10.89,8414,OlympicG
macey,x400m,48.97,8414,OlympicG
macey,long_jump,7.47,8414,OlympicG
macey,shot_put,15.73,8414,OlympicG
warners,x100m,10.62,8343,OlympicG
warners,x400m,47.97,8343,OlympicG
warners,long_jump,7.74,8343,OlympicG
warners,shot_put,14.48,8343,OlympicG
zsivoczky,x100m,10.91,8287,OlympicG
zsivoczky,x400m,49.4,8287,OlympicG
zsivoczky,long_jump,7.14,8287,OlympicG
zsivoczky,shot_put,15.31,8287,OlympicG
hernu,x100m,10.97,8237,OlympicG
hernu,x400m,48.73,8237,OlympicG
hernu,long_jump,7.19,8237,OlympicG
hernu,shot_put,14.65,8237,OlympicG
nool,x100m,10.8,8235,OlympicG
nool,x400m,48.81,8235,OlympicG
nool,long_jump,7.53,8235,OlympicG
nool,shot_put,14.26,8235,OlympicG
bernard,x100m,10.69,8225,OlympicG
bernard,x400m,49.13,8225,OlympicG
bernard,long_jump,7.48,8225,OlympicG
bernard,shot_put,14.8,8225,OlympicG
schwarzl,x100m,10.98,8102,OlympicG
schwarzl,x400m,49.76,8102,OlympicG
schwarzl,long_jump,7.49,8102,OlympicG
schwarzl,shot_put,14.01,8102,OlympicG
pogorelov,x100m,10.95,8084,OlympicG
pogorelov,x400m,50.79,8084,OlympicG
pogorelov,long_jump,7.31,8084,OlympicG
pogorelov,shot_put,15.1,8084,OlympicG
schoenbeck,x100m,10.9,8077,OlympicG
schoenbeck,x400m,50.3,8077,OlympicG
schoenbeck,long_jump,7.3,8077,OlympicG
schoenbeck,shot_put,14.77,8077,OlympicG
barras,x100m,11.14,8067,OlympicG
barras,x400m,49.41,8067,OlympicG
barras,long_jump,6.99,8067,OlympicG
barras,shot_put,14.91,8067,OlympicG
smith,x100m,10.85,8023,OlympicG
smith,x400m,49.27,8023,OlympicG
smith,long_jump,6.81,8023,OlympicG
smith,shot_put,15.24,8023,OlympicG
averyanov,x100m,10.55,8021,OlympicG
averyanov,x400m,49.72,8021,OlympicG
averyanov,long_jump,7.34,8021,OlympicG
averyanov,shot_put,14.44,8021,OlympicG
ojaniemi,x100m,10.68,8006,OlympicG
ojaniemi,x400m,49.12,8006,OlympicG
