cake,code,measurement,ingredient,measure
angel,AE,0.25,almond essence,teaspoon
angel,BM,NA,buttermilk,cup
angel,BP,NA,baking powder,teaspoon
angel,BR,NA,butter,cup
angel,BS,NA,bananas,one
angel,CA,NA,cocoa,tablespoon
angel,CC,NA,cottage cheese,pound
angel,CE,NA,chocolate,ounce
angel,CI,NA,crushed ice,cup
angel,CS,NA,crumbs,cup
angel,CT,1.25,cream of tartar,teaspoon
angel,DC,NA,dried currants,tablespoon
angel,EG,NA,eggs,one
angel,EY,NA,egg yolk,one
angel,EW,10,egg white,one
angel,FR,1,sifted flour,cup
angel,GN,NA,gelatin,tablespoon
angel,HC,NA,heavy cream,cup
angel,LJ,NA,lemon juice,tablespoon
angel,LR,NA,lemon rind,teaspoon
angel,MK,NA,milk,cup
angel,NG,NA,nutmeg,teaspoon
angel,NS,NA,nuts,cup
angel,RM,NA,rum,ounce
angel,SA,NA,soda,teaspoon
angel,SC,NA,sour cream cup,NA
angel,SG,NA,shortening,tablespoon
angel,SR,1.5,granulated sugar,cup
angel,SS,NA,strawberries,quart
angel,ST,0.25,salt,teaspoon
angel,VE,1,vanilla extract,teaspoon
angel,WR,NA,water,cup
angel,YT,NA,yeast,ounce
angel,ZH,NA,zwiebach,ounce
babas au rhum,AE,NA,almond essence,teaspoon
babas au rhum,BM,NA,buttermilk,cup
babas au rhum,BP,NA,baking powder,teaspoon
babas au rhum,BR,0.25,butter,cup
babas au rhum,BS,NA,bananas,one
babas au rhum,CA,NA,cocoa,tablespoon
babas au rhum,CC,NA,cottage cheese,pound
babas au rhum,CE,NA,chocolate,ounce
babas au rhum,CI,NA,crushed ice,cup
babas au rhum,CS,NA,crumbs,cup
babas au rhum,CT,NA,cream of tartar,teaspoon
babas au rhum,DC,3,dried currants,tablespoon
babas au rhum,EG,1,eggs,one
babas au rhum,EY,2,egg yolk,one
babas au rhum,EW,NA,egg white,one
babas au rhum,FR,1.75,sifted flour,cup
babas au rhum,GN,NA,gelatin,tablespoon
babas au rhum,HC,NA,heavy cream,cup
babas au rhum,LJ,NA,lemon juice,tablespoon
babas au rhum,LR,0.5,lemon rind,teaspoon
babas au rhum,MK,0.25,milk,cup
babas au rhum,NG,NA,nutmeg,teaspoon
babas au rhum,NS,NA,nuts,cup
babas au rhum,RM,2,rum,ounce
babas au rhum,SA,NA,soda,teaspoon
